source,model,parameters
author_stored_notebook,LR,"{""C"": 8}"
author_stored_notebook,RF,"{""max_depth"": 4, ""max_features"": ""log2"", ""n_estimators"": 320}"
author_stored_notebook,KNN,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""n_neighbors"": 19, ""weights"": ""distance""}"
author_stored_notebook,SVM,"{""C"": 30, ""degree"": 1, ""kernel"": ""rbf"", ""tol"": 1e-05}"
author_stored_notebook,LightGBM,"{""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 160, ""reg_lambda"": 0}"
paper_Table_S2,LR,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}"
paper_Table_S2,RF,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}"
paper_Table_S2,KNN,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}"
paper_Table_S2,SVM,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}"
paper_Table_S2,LightGBM,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}"
paper_Table_S2,LSTM,Described in the paper
run1_code_grid,LR,"{""C"": 6}"
run2_code_grid,LR,"{""C"": 6}"
run1_code_grid,RF,"{""max_depth"": 5, ""max_features"": ""log2"", ""n_estimators"": 320}"
run2_code_grid,RF,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""n_estimators"": 480}"
run1_code_grid,KNN,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""n_neighbors"": 2, ""weights"": ""distance""}"
run2_code_grid,KNN,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""n_neighbors"": 2, ""weights"": ""distance""}"
run1_code_grid,SVM,"{""C"": 30, ""degree"": 5, ""kernel"": ""poly"", ""tol"": 1e-05}"
run2_code_grid,SVM,"{""C"": 30, ""degree"": 5, ""kernel"": ""poly"", ""tol"": 1e-05}"
run1_code_grid,LightGBM,"{""learning_rate"": 1, ""max_depth"": -1, ""n_estimators"": 40, ""reg_lambda"": 0}"
run2_code_grid,LightGBM,"{""learning_rate"": 1, ""max_depth"": -1, ""n_estimators"": 40, ""reg_lambda"": 0}"
