run,model,printed_metric,computed_column,author_stored_mean,current_mean,signed_difference,limitation
run1,LR,balanced_accuracy,author_printed_balanced_accuracy,0.943,0.9458424066077585,0.0028424066077585852,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LR,balanced_accuracy,author_printed_balanced_accuracy,0.943,0.9458424066077585,0.0028424066077585852,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LR,recall,author_printed_recall,0.927,0.9470686524102083,0.020068652410208276,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LR,recall,author_printed_recall,0.927,0.9470686524102083,0.020068652410208276,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LR,precision,author_printed_precision,0.926,0.9444024409859513,0.01840244098595123,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LR,precision,author_printed_precision,0.926,0.9444024409859513,0.01840244098595123,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LR,mcc,mcc,0.886,0.8916060446546631,0.005606044654663078,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LR,mcc,mcc,0.886,0.8916060446546631,0.005606044654663078,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LR,f1,author_printed_f1,0.926,0.9452605185763879,0.019260518576387886,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LR,f1,author_printed_f1,0.926,0.9452605185763879,0.019260518576387886,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LR,roc_auc,roc_auc,0.991,0.9903640592827377,-0.0006359407172622511,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LR,roc_auc,roc_auc,0.991,0.9903640592827377,-0.0006359407172622511,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,RF,balanced_accuracy,author_printed_balanced_accuracy,0.755,0.93957155131638,0.18457155131638003,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,RF,balanced_accuracy,author_printed_balanced_accuracy,0.755,0.9412323994105835,0.18623239941058345,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,RF,recall,author_printed_recall,0.738,0.9142291406378092,0.17622914063780926,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,RF,recall,author_printed_recall,0.738,0.9281619859845668,0.1901619859845668,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,RF,precision,author_printed_precision,0.71,0.9678810654922397,0.25788106549223977,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,RF,precision,author_printed_precision,0.71,0.9558566971710574,0.2458566971710574,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,RF,mcc,mcc,0.508,0.8783796580580214,0.3703796580580214,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,RF,mcc,mcc,0.508,0.8825939188200336,0.37459391882003357,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,RF,f1,author_printed_f1,0.72,0.9397855376858267,0.21978553768582676,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,RF,f1,author_printed_f1,0.72,0.9415442574122185,0.2215442574122185,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
