experiment,model,metric,n,run1_mean,run1_std,run2_mean,run2_std,mean_delta,max_abs_seed_delta,changed_seeds,all_equal_at_1e_12,paper_mean,paper_std,run2_minus_paper,absolute_difference_from_paper
A_author_cleaned_code_grid,KNN,balanced_accuracy,10,0.9037867147670438,0.04080114925413783,0.9037867147670438,0.04080114925413783,0.0,0.0,0,True,0.903,0.306,0.000786714767043728,0.000786714767043728
A_author_cleaned_code_grid,KNN,precision,10,0.8997191327717893,0.04524291942459073,0.8997191327717893,0.04524291942459073,0.0,0.0,0,True,0.911,0.042,-0.011280867228210756,0.011280867228210756
A_author_cleaned_code_grid,KNN,recall,10,0.9067737488420601,0.0501979152262145,0.9067737488420601,0.0501979152262145,0.0,0.0,0,True,0.9,0.043,0.006773748842060057,0.006773748842060057
A_author_cleaned_code_grid,KNN,mcc,10,0.8083733540617815,0.08120889348523501,0.8083733540617815,0.08120889348523501,0.0,0.0,0,True,0.806,0.074,0.0023733540617814075,0.0023733540617814075
A_author_cleaned_code_grid,LR,balanced_accuracy,10,0.9457682284717484,0.031639803607172626,0.9457682284717484,0.031639803607172626,0.0,0.0,0,True,0.903,0.09,0.042768228471748326,0.042768228471748326
A_author_cleaned_code_grid,LR,precision,10,0.9446161608053089,0.03906184065282512,0.9446161608053089,0.03906184065282512,0.0,0.0,0,True,0.922,0.104,0.022616160805308816,0.022616160805308816
A_author_cleaned_code_grid,LR,recall,10,0.9471340159575454,0.03790369068591921,0.9471340159575454,0.03790369068591921,0.0,0.0,0,True,0.896,0.138,0.05113401595754541,0.05113401595754541
A_author_cleaned_code_grid,LR,mcc,10,0.8916060446546631,0.06379229658918925,0.8916060446546631,0.06379229658918925,0.0,0.0,0,True,0.822,0.172,0.06960604465466314,0.06960604465466314
A_author_cleaned_code_grid,LightGBM,balanced_accuracy,10,0.9400193351656794,0.016557923953522277,0.9400193351656794,0.016557923953522277,0.0,0.0,0,True,0.942,0.018,-0.001980664834320578,0.001980664834320578
A_author_cleaned_code_grid,LightGBM,precision,10,0.9425516857846704,0.016963380087328984,0.9425516857846704,0.016963380087328984,0.0,0.0,0,True,0.947,0.031,-0.004448314215329541,0.004448314215329541
A_author_cleaned_code_grid,LightGBM,recall,10,0.9350299441570789,0.03501800359158271,0.9350299441570789,0.03501800359158271,0.0,0.0,0,True,0.937,0.026,-0.0019700558429212034,0.0019700558429212034
A_author_cleaned_code_grid,LightGBM,mcc,10,0.8797250921233202,0.03412872488505571,0.8797250921233202,0.03412872488505571,0.0,0.0,0,True,0.883,0.034,-0.0032749078766798334,0.0032749078766798334
A_author_cleaned_code_grid,RF,balanced_accuracy,10,0.9388185630700706,0.029978571123747553,0.9413666977639158,0.028286862451219145,0.0025481346938453385,0.030303030303030387,7,False,0.94,0.026,0.0013666977639158473,0.0013666977639158473
A_author_cleaned_code_grid,RF,precision,10,0.9649139619949507,0.018534986393428782,0.9543028128366003,0.028422748825139354,-0.010611149158350286,0.05166931637519867,7,False,0.965,0.02,-0.010697187163399624,0.010697187163399624
A_author_cleaned_code_grid,RF,recall,10,0.9097560606479013,0.04905686992901541,0.9268766983567744,0.034054962399997495,0.01712063770887302,0.06060606060606066,7,False,0.917,0.043,0.009876698356774405,0.009876698356774405
A_author_cleaned_code_grid,RF,mcc,10,0.8783796580580214,0.059755543108213016,0.8825939188200336,0.05695727714591382,0.004214260762012268,0.05621600673186811,8,False,0.878,0.052,0.004593918820033571,0.004593918820033571
A_author_cleaned_code_grid,SVM,balanced_accuracy,10,0.9578792934675289,0.032325033127400975,0.9578792934675289,0.032325033127400975,0.0,0.0,0,True,0.963,0.022,-0.005120706532471098,0.005120706532471098
A_author_cleaned_code_grid,SVM,precision,10,0.9615549401578812,0.04359665831972931,0.9615549401578812,0.04359665831972931,0.0,0.0,0,True,0.951,0.03,0.010554940157881276,0.010554940157881276
A_author_cleaned_code_grid,SVM,recall,10,0.9529423252952665,0.03501605764065028,0.9529423252952665,0.03501605764065028,0.0,0.0,0,True,0.976,0.024,-0.023057674704733522,0.023057674704733522
A_author_cleaned_code_grid,SVM,mcc,10,0.9153828545312617,0.06425744432105013,0.9153828545312617,0.06425744432105013,0.0,0.0,0,True,0.927,0.044,-0.011617145468738377,0.011617145468738377
B_author_cleaned_MCC_grid,SVM,balanced_accuracy,10,0.9578792934675289,0.032325033127400975,0.9578792934675289,0.032325033127400975,0.0,0.0,0,True,0.963,0.022,-0.005120706532471098,0.005120706532471098
B_author_cleaned_MCC_grid,SVM,precision,10,0.9615549401578812,0.04359665831972931,0.9615549401578812,0.04359665831972931,0.0,0.0,0,True,0.951,0.03,0.010554940157881276,0.010554940157881276
B_author_cleaned_MCC_grid,SVM,recall,10,0.9529423252952665,0.03501605764065028,0.9529423252952665,0.03501605764065028,0.0,0.0,0,True,0.976,0.024,-0.023057674704733522,0.023057674704733522
B_author_cleaned_MCC_grid,SVM,mcc,10,0.9153828545312617,0.06425744432105013,0.9153828545312617,0.06425744432105013,0.0,0.0,0,True,0.927,0.044,-0.011617145468738377,0.011617145468738377
C_independent_ESM_CleanLab_code_grid,SVM,balanced_accuracy,10,0.9529672165711631,0.019188560321769743,0.9529672165711631,0.019188560321769743,0.0,0.0,0,True,0.963,0.022,-0.010032783428836844,0.010032783428836844
C_independent_ESM_CleanLab_code_grid,SVM,precision,10,0.9321720413146559,0.04203800407906436,0.9321720413146559,0.04203800407906436,0.0,0.0,0,True,0.951,0.03,-0.018827958685344037,0.018827958685344037
C_independent_ESM_CleanLab_code_grid,SVM,recall,10,0.9701676342580041,0.023643222010863295,0.9701676342580041,0.023643222010863295,0.0,0.0,0,True,0.976,0.024,-0.00583236574199586,0.00583236574199586
