dataset,seed,partition,No
author_cleaned,2001,train,298
author_cleaned,2001,train,133
author_cleaned,2001,train,46
author_cleaned,2001,train,200
author_cleaned,2001,train,154
author_cleaned,2001,train,39
author_cleaned,2001,train,67
author_cleaned,2001,train,315
author_cleaned,2001,train,90
author_cleaned,2001,train,14
author_cleaned,2001,train,129
author_cleaned,2001,train,280
author_cleaned,2001,train,410
author_cleaned,2001,train,262
author_cleaned,2001,train,66
author_cleaned,2001,train,9
author_cleaned,2001,train,367
author_cleaned,2001,train,120
author_cleaned,2001,train,206
author_cleaned,2001,train,292
author_cleaned,2001,train,23
author_cleaned,2001,train,343
author_cleaned,2001,train,264
author_cleaned,2001,train,252
author_cleaned,2001,train,18
author_cleaned,2001,train,177
author_cleaned,2001,train,361
author_cleaned,2001,train,319
author_cleaned,2001,train,215
author_cleaned,2001,train,366
author_cleaned,2001,train,333
author_cleaned,2001,train,117
author_cleaned,2001,train,190
author_cleaned,2001,train,417
author_cleaned,2001,train,99
author_cleaned,2001,train,297
author_cleaned,2001,train,311
author_cleaned,2001,train,153
author_cleaned,2001,train,77
author_cleaned,2001,train,54
author_cleaned,2001,train,405
author_cleaned,2001,train,336
author_cleaned,2001,train,135
author_cleaned,2001,train,390
author_cleaned,2001,train,204
author_cleaned,2001,train,24
author_cleaned,2001,train,363
author_cleaned,2001,train,158
author_cleaned,2001,train,162
author_cleaned,2001,train,253
author_cleaned,2001,train,249
author_cleaned,2001,train,74
author_cleaned,2001,train,173
author_cleaned,2001,train,309
author_cleaned,2001,train,1
author_cleaned,2001,train,155
author_cleaned,2001,train,386
author_cleaned,2001,train,418
author_cleaned,2001,train,296
author_cleaned,2001,train,406
author_cleaned,2001,train,48
author_cleaned,2001,train,126
author_cleaned,2001,train,37
author_cleaned,2001,train,289
author_cleaned,2001,train,265
author_cleaned,2001,train,21
author_cleaned,2001,train,287
author_cleaned,2001,train,303
author_cleaned,2001,train,282
author_cleaned,2001,train,259
author_cleaned,2001,train,379
author_cleaned,2001,train,102
author_cleaned,2001,train,220
author_cleaned,2001,train,107
author_cleaned,2001,train,148
author_cleaned,2001,train,45
author_cleaned,2001,train,240
author_cleaned,2001,train,5
author_cleaned,2001,train,273
author_cleaned,2001,train,394
author_cleaned,2001,train,217
author_cleaned,2001,train,243
author_cleaned,2001,train,60
author_cleaned,2001,train,71
author_cleaned,2001,train,235
author_cleaned,2001,train,337
author_cleaned,2001,train,376
author_cleaned,2001,train,257
author_cleaned,2001,train,354
author_cleaned,2001,train,359
author_cleaned,2001,train,276
author_cleaned,2001,train,142
author_cleaned,2001,train,352
author_cleaned,2001,train,383
author_cleaned,2001,train,202
author_cleaned,2001,train,307
author_cleaned,2001,train,16
author_cleaned,2001,train,105
author_cleaned,2001,train,395
author_cleaned,2001,train,365
author_cleaned,2001,train,112
author_cleaned,2001,train,301
author_cleaned,2001,train,281
author_cleaned,2001,train,382
author_cleaned,2001,train,10
author_cleaned,2001,train,96
author_cleaned,2001,train,353
author_cleaned,2001,train,125
author_cleaned,2001,train,329
author_cleaned,2001,train,141
author_cleaned,2001,train,76
author_cleaned,2001,train,323
author_cleaned,2001,train,17
author_cleaned,2001,train,334
author_cleaned,2001,train,341
author_cleaned,2001,train,221
author_cleaned,2001,train,15
author_cleaned,2001,train,108
author_cleaned,2001,train,13
author_cleaned,2001,train,152
author_cleaned,2001,train,371
author_cleaned,2001,train,327
author_cleaned,2001,train,245
author_cleaned,2001,train,187
author_cleaned,2001,train,176
author_cleaned,2001,train,344
author_cleaned,2001,train,260
author_cleaned,2001,train,150
author_cleaned,2001,train,411
author_cleaned,2001,train,263
author_cleaned,2001,train,320
author_cleaned,2001,train,291
author_cleaned,2001,train,384
author_cleaned,2001,train,230
author_cleaned,2001,train,285
author_cleaned,2001,train,407
author_cleaned,2001,train,57
author_cleaned,2001,train,232
author_cleaned,2001,train,399
author_cleaned,2001,train,364
author_cleaned,2001,train,219
author_cleaned,2001,train,345
author_cleaned,2001,train,213
author_cleaned,2001,train,225
author_cleaned,2001,train,331
author_cleaned,2001,train,239
author_cleaned,2001,train,139
author_cleaned,2001,train,397
author_cleaned,2001,train,325
author_cleaned,2001,train,44
author_cleaned,2001,train,409
author_cleaned,2001,train,218
author_cleaned,2001,train,134
author_cleaned,2001,train,89
author_cleaned,2001,train,416
author_cleaned,2001,train,20
author_cleaned,2001,train,310
author_cleaned,2001,train,355
author_cleaned,2001,train,388
author_cleaned,2001,train,180
author_cleaned,2001,train,82
author_cleaned,2001,train,47
author_cleaned,2001,train,26
author_cleaned,2001,train,350
author_cleaned,2001,train,209
author_cleaned,2001,train,224
author_cleaned,2001,train,356
author_cleaned,2001,train,184
author_cleaned,2001,train,199
author_cleaned,2001,train,251
author_cleaned,2001,train,0
author_cleaned,2001,train,283
author_cleaned,2001,train,100
author_cleaned,2001,train,197
author_cleaned,2001,train,195
author_cleaned,2001,train,169
author_cleaned,2001,train,381
author_cleaned,2001,train,214
author_cleaned,2001,train,258
author_cleaned,2001,train,70
author_cleaned,2001,train,92
author_cleaned,2001,train,373
author_cleaned,2001,train,223
author_cleaned,2001,train,211
author_cleaned,2001,train,85
author_cleaned,2001,train,288
author_cleaned,2001,train,210
author_cleaned,2001,train,58
author_cleaned,2001,train,103
author_cleaned,2001,train,389
author_cleaned,2001,train,128
author_cleaned,2001,train,159
author_cleaned,2001,train,78
author_cleaned,2001,train,93
author_cleaned,2001,train,113
author_cleaned,2001,train,302
author_cleaned,2001,train,380
author_cleaned,2001,train,8
author_cleaned,2001,train,244
author_cleaned,2001,train,138
author_cleaned,2001,train,233
author_cleaned,2001,train,227
author_cleaned,2001,train,216
author_cleaned,2001,train,29
author_cleaned,2001,train,415
author_cleaned,2001,train,181
author_cleaned,2001,train,378
author_cleaned,2001,train,104
author_cleaned,2001,train,385
author_cleaned,2001,train,131
author_cleaned,2001,train,270
author_cleaned,2001,train,295
author_cleaned,2001,train,145
author_cleaned,2001,train,3
author_cleaned,2001,train,137
author_cleaned,2001,train,161
author_cleaned,2001,train,28
author_cleaned,2001,train,398
author_cleaned,2001,train,114
author_cleaned,2001,train,360
author_cleaned,2001,train,175
author_cleaned,2001,train,304
author_cleaned,2001,train,179
author_cleaned,2001,train,293
author_cleaned,2001,train,164
author_cleaned,2001,train,400
author_cleaned,2001,train,299
author_cleaned,2001,train,269
author_cleaned,2001,train,174
author_cleaned,2001,train,147
author_cleaned,2001,train,203
author_cleaned,2001,train,101
author_cleaned,2001,train,165
author_cleaned,2001,train,349
author_cleaned,2001,train,401
author_cleaned,2001,train,332
author_cleaned,2001,train,188
author_cleaned,2001,train,313
author_cleaned,2001,train,61
author_cleaned,2001,train,318
author_cleaned,2001,train,156
author_cleaned,2001,train,368
author_cleaned,2001,train,228
author_cleaned,2001,train,286
author_cleaned,2001,train,414
author_cleaned,2001,train,191
author_cleaned,2001,train,83
author_cleaned,2001,train,255
author_cleaned,2001,train,167
author_cleaned,2001,train,226
author_cleaned,2001,train,185
author_cleaned,2001,train,116
author_cleaned,2001,train,140
author_cleaned,2001,train,314
author_cleaned,2001,train,192
author_cleaned,2001,train,49
author_cleaned,2001,train,326
author_cleaned,2001,train,157
author_cleaned,2001,train,33
author_cleaned,2001,train,375
author_cleaned,2001,train,81
author_cleaned,2001,train,402
author_cleaned,2001,train,52
author_cleaned,2001,train,166
author_cleaned,2001,train,322
author_cleaned,2001,train,266
author_cleaned,2001,train,136
author_cleaned,2001,train,241
author_cleaned,2001,train,19
author_cleaned,2001,train,6
author_cleaned,2001,train,321
author_cleaned,2001,test,144
author_cleaned,2001,test,267
author_cleaned,2001,test,261
author_cleaned,2001,test,50
author_cleaned,2001,test,284
author_cleaned,2001,test,413
author_cleaned,2001,test,146
author_cleaned,2001,test,237
author_cleaned,2001,test,43
author_cleaned,2001,test,231
author_cleaned,2001,test,193
author_cleaned,2001,test,110
author_cleaned,2001,test,151
author_cleaned,2001,test,404
author_cleaned,2001,test,42
author_cleaned,2001,test,374
author_cleaned,2001,test,65
author_cleaned,2001,test,22
author_cleaned,2001,test,172
author_cleaned,2001,test,12
author_cleaned,2001,test,357
author_cleaned,2001,test,207
author_cleaned,2001,test,73
author_cleaned,2001,test,362
author_cleaned,2001,test,75
author_cleaned,2001,test,51
author_cleaned,2001,test,305
author_cleaned,2001,test,41
author_cleaned,2001,test,306
author_cleaned,2001,test,316
author_cleaned,2001,test,346
author_cleaned,2001,test,250
author_cleaned,2001,test,189
author_cleaned,2001,test,312
author_cleaned,2001,test,34
author_cleaned,2001,test,36
author_cleaned,2001,test,242
author_cleaned,2001,test,391
author_cleaned,2001,test,308
author_cleaned,2001,test,387
author_cleaned,2001,test,246
author_cleaned,2001,test,27
author_cleaned,2001,test,335
author_cleaned,2001,test,205
author_cleaned,2001,test,130
author_cleaned,2001,test,115
author_cleaned,2001,test,330
author_cleaned,2001,test,127
author_cleaned,2001,test,351
author_cleaned,2001,test,86
author_cleaned,2001,test,403
author_cleaned,2001,test,149
author_cleaned,2001,test,300
author_cleaned,2001,test,348
author_cleaned,2001,test,278
author_cleaned,2001,test,275
author_cleaned,2001,test,123
author_cleaned,2001,test,11
author_cleaned,2001,test,106
author_cleaned,2001,test,196
author_cleaned,2001,test,132
author_cleaned,2001,test,109
author_cleaned,2001,test,392
author_cleaned,2001,test,370
author_cleaned,2001,test,59
author_cleaned,2001,test,268
author_cleaned,2001,test,256
author_cleaned,2001,test,271
author_cleaned,0,train,15
author_cleaned,0,train,384
author_cleaned,0,train,20
author_cleaned,0,train,394
author_cleaned,0,train,233
author_cleaned,0,train,287
author_cleaned,0,train,273
author_cleaned,0,train,285
author_cleaned,0,train,158
author_cleaned,0,train,331
author_cleaned,0,train,314
author_cleaned,0,train,190
author_cleaned,0,train,283
author_cleaned,0,train,216
author_cleaned,0,train,110
author_cleaned,0,train,1
author_cleaned,0,train,137
author_cleaned,0,train,11
author_cleaned,0,train,291
author_cleaned,0,train,309
author_cleaned,0,train,161
author_cleaned,0,train,327
author_cleaned,0,train,135
author_cleaned,0,train,326
author_cleaned,0,train,303
author_cleaned,0,train,271
author_cleaned,0,train,8
author_cleaned,0,train,43
author_cleaned,0,train,395
author_cleaned,0,train,292
author_cleaned,0,train,44
author_cleaned,0,train,187
author_cleaned,0,train,132
author_cleaned,0,train,115
author_cleaned,0,train,385
author_cleaned,0,train,156
author_cleaned,0,train,200
author_cleaned,0,train,58
author_cleaned,0,train,189
author_cleaned,0,train,270
author_cleaned,0,train,352
author_cleaned,0,train,280
author_cleaned,0,train,354
author_cleaned,0,train,144
author_cleaned,0,train,281
author_cleaned,0,train,125
author_cleaned,0,train,164
author_cleaned,0,train,302
author_cleaned,0,train,297
author_cleaned,0,train,196
author_cleaned,0,train,102
author_cleaned,0,train,410
author_cleaned,0,train,399
author_cleaned,0,train,179
author_cleaned,0,train,224
author_cleaned,0,train,37
author_cleaned,0,train,373
author_cleaned,0,train,23
author_cleaned,0,train,59
author_cleaned,0,train,264
author_cleaned,0,train,346
author_cleaned,0,train,34
author_cleaned,0,train,245
author_cleaned,0,train,191
author_cleaned,0,train,185
author_cleaned,0,train,206
author_cleaned,0,train,381
author_cleaned,0,train,262
author_cleaned,0,train,268
author_cleaned,0,train,45
author_cleaned,0,train,244
author_cleaned,0,train,318
author_cleaned,0,train,415
author_cleaned,0,train,246
author_cleaned,0,train,57
author_cleaned,0,train,210
author_cleaned,0,train,167
author_cleaned,0,train,313
author_cleaned,0,train,147
author_cleaned,0,train,266
author_cleaned,0,train,253
author_cleaned,0,train,21
author_cleaned,0,train,276
author_cleaned,0,train,108
author_cleaned,0,train,217
author_cleaned,0,train,100
author_cleaned,0,train,299
author_cleaned,0,train,355
author_cleaned,0,train,403
author_cleaned,0,train,413
author_cleaned,0,train,282
author_cleaned,0,train,113
author_cleaned,0,train,416
author_cleaned,0,train,154
author_cleaned,0,train,221
author_cleaned,0,train,392
author_cleaned,0,train,146
author_cleaned,0,train,406
author_cleaned,0,train,205
author_cleaned,0,train,199
author_cleaned,0,train,19
author_cleaned,0,train,104
author_cleaned,0,train,145
author_cleaned,0,train,293
author_cleaned,0,train,409
author_cleaned,0,train,181
author_cleaned,0,train,6
author_cleaned,0,train,131
author_cleaned,0,train,278
author_cleaned,0,train,82
author_cleaned,0,train,92
author_cleaned,0,train,202
author_cleaned,0,train,367
author_cleaned,0,train,323
author_cleaned,0,train,258
author_cleaned,0,train,391
author_cleaned,0,train,50
author_cleaned,0,train,360
author_cleaned,0,train,16
author_cleaned,0,train,142
author_cleaned,0,train,321
author_cleaned,0,train,5
author_cleaned,0,train,330
author_cleaned,0,train,162
author_cleaned,0,train,28
author_cleaned,0,train,39
author_cleaned,0,train,106
author_cleaned,0,train,243
author_cleaned,0,train,239
author_cleaned,0,train,389
author_cleaned,0,train,310
author_cleaned,0,train,288
author_cleaned,0,train,22
author_cleaned,0,train,380
author_cleaned,0,train,405
author_cleaned,0,train,235
author_cleaned,0,train,375
author_cleaned,0,train,109
author_cleaned,0,train,67
author_cleaned,0,train,3
author_cleaned,0,train,14
author_cleaned,0,train,139
author_cleaned,0,train,300
author_cleaned,0,train,116
author_cleaned,0,train,13
author_cleaned,0,train,316
author_cleaned,0,train,400
author_cleaned,0,train,77
author_cleaned,0,train,51
author_cleaned,0,train,17
author_cleaned,0,train,203
author_cleaned,0,train,66
author_cleaned,0,train,267
author_cleaned,0,train,379
author_cleaned,0,train,397
author_cleaned,0,train,350
author_cleaned,0,train,411
author_cleaned,0,train,159
author_cleaned,0,train,284
author_cleaned,0,train,325
author_cleaned,0,train,83
author_cleaned,0,train,311
author_cleaned,0,train,345
author_cleaned,0,train,169
author_cleaned,0,train,242
author_cleaned,0,train,27
author_cleaned,0,train,304
author_cleaned,0,train,241
author_cleaned,0,train,54
author_cleaned,0,train,150
author_cleaned,0,train,180
author_cleaned,0,train,320
author_cleaned,0,train,336
author_cleaned,0,train,259
author_cleaned,0,train,195
author_cleaned,0,train,295
author_cleaned,0,train,148
author_cleaned,0,train,263
author_cleaned,0,train,356
author_cleaned,0,train,133
author_cleaned,0,train,335
author_cleaned,0,train,128
author_cleaned,0,train,341
author_cleaned,0,train,211
author_cleaned,0,train,46
author_cleaned,0,train,230
author_cleaned,0,train,149
author_cleaned,0,train,0
author_cleaned,0,train,129
author_cleaned,0,train,387
author_cleaned,0,train,130
author_cleaned,0,train,368
author_cleaned,0,train,219
author_cleaned,0,train,96
author_cleaned,0,train,61
author_cleaned,0,train,265
author_cleaned,0,train,289
author_cleaned,0,train,193
author_cleaned,0,train,188
author_cleaned,0,train,232
author_cleaned,0,train,172
author_cleaned,0,train,376
author_cleaned,0,train,417
author_cleaned,0,train,329
author_cleaned,0,train,261
author_cleaned,0,train,114
author_cleaned,0,train,157
author_cleaned,0,train,362
author_cleaned,0,train,386
author_cleaned,0,train,126
author_cleaned,0,train,112
author_cleaned,0,train,334
author_cleaned,0,train,155
author_cleaned,0,train,76
author_cleaned,0,train,322
author_cleaned,0,train,374
author_cleaned,0,train,52
author_cleaned,0,train,140
author_cleaned,0,train,344
author_cleaned,0,train,371
author_cleaned,0,train,48
author_cleaned,0,train,71
author_cleaned,0,train,364
author_cleaned,0,train,166
author_cleaned,0,train,363
author_cleaned,0,train,36
author_cleaned,0,train,237
author_cleaned,0,train,213
author_cleaned,0,train,197
author_cleaned,0,train,308
author_cleaned,0,train,260
author_cleaned,0,train,41
author_cleaned,0,train,42
author_cleaned,0,train,165
author_cleaned,0,train,240
author_cleaned,0,train,414
author_cleaned,0,train,361
author_cleaned,0,train,382
author_cleaned,0,train,192
author_cleaned,0,train,357
author_cleaned,0,train,388
author_cleaned,0,train,228
author_cleaned,0,train,134
author_cleaned,0,train,255
author_cleaned,0,train,307
author_cleaned,0,train,151
author_cleaned,0,train,332
author_cleaned,0,train,101
author_cleaned,0,train,29
author_cleaned,0,train,215
author_cleaned,0,train,402
author_cleaned,0,train,225
author_cleaned,0,train,404
author_cleaned,0,train,49
author_cleaned,0,train,250
author_cleaned,0,train,390
author_cleaned,0,train,120
author_cleaned,0,train,99
author_cleaned,0,train,117
author_cleaned,0,train,365
author_cleaned,0,train,306
author_cleaned,0,train,349
author_cleaned,0,train,269
author_cleaned,0,train,12
author_cleaned,0,train,252
author_cleaned,0,train,315
author_cleaned,0,train,401
author_cleaned,0,train,249
author_cleaned,0,train,153
author_cleaned,0,train,60
author_cleaned,0,train,223
author_cleaned,0,test,105
author_cleaned,0,test,337
author_cleaned,0,test,286
author_cleaned,0,test,207
author_cleaned,0,test,305
author_cleaned,0,test,407
author_cleaned,0,test,18
author_cleaned,0,test,319
author_cleaned,0,test,86
author_cleaned,0,test,353
author_cleaned,0,test,123
author_cleaned,0,test,226
author_cleaned,0,test,93
author_cleaned,0,test,78
author_cleaned,0,test,220
author_cleaned,0,test,296
author_cleaned,0,test,33
author_cleaned,0,test,257
author_cleaned,0,test,85
author_cleaned,0,test,47
author_cleaned,0,test,173
author_cleaned,0,test,256
author_cleaned,0,test,231
author_cleaned,0,test,74
author_cleaned,0,test,275
author_cleaned,0,test,351
author_cleaned,0,test,73
author_cleaned,0,test,398
author_cleaned,0,test,152
author_cleaned,0,test,227
author_cleaned,0,test,378
author_cleaned,0,test,298
author_cleaned,0,test,383
author_cleaned,0,test,136
author_cleaned,0,test,214
author_cleaned,0,test,184
author_cleaned,0,test,359
author_cleaned,0,test,370
author_cleaned,0,test,218
author_cleaned,0,test,418
author_cleaned,0,test,127
author_cleaned,0,test,70
author_cleaned,0,test,81
author_cleaned,0,test,75
author_cleaned,0,test,107
author_cleaned,0,test,141
author_cleaned,0,test,176
author_cleaned,0,test,251
author_cleaned,0,test,312
author_cleaned,0,test,24
author_cleaned,0,test,301
author_cleaned,0,test,333
author_cleaned,0,test,209
author_cleaned,0,test,65
author_cleaned,0,test,343
author_cleaned,0,test,177
author_cleaned,0,test,366
author_cleaned,0,test,174
author_cleaned,0,test,10
author_cleaned,0,test,9
author_cleaned,0,test,204
author_cleaned,0,test,103
author_cleaned,0,test,26
author_cleaned,0,test,175
author_cleaned,0,test,89
author_cleaned,0,test,138
author_cleaned,0,test,90
author_cleaned,0,test,348
author_cleaned,1,train,387
author_cleaned,1,train,115
author_cleaned,1,train,102
author_cleaned,1,train,359
author_cleaned,1,train,379
author_cleaned,1,train,215
author_cleaned,1,train,405
