import time: self [us] | cumulative | imported package
import time:       125 |        125 |   _io
import time:        16 |         16 |   marshal
import time:       109 |        109 |   posix
import time:       140 |        388 | _frozen_importlib_external
import time:       436 |        436 |   time
import time:        56 |        491 | zipimport
import time:        59 |         59 |     _codecs
import time:        95 |        153 |   codecs
import time:       222 |        222 |   encodings.aliases
import time:       328 |        703 | encodings
import time:        96 |         96 | encodings.utf_8
import time:        41 |         41 | _signal
import time:        12 |         12 |     _abc
import time:        49 |         60 |   abc
import time:        73 |        132 | io
import time:        18 |         18 |       _stat
import time:        21 |         39 |     stat
import time:       307 |        307 |     _collections_abc
import time:        16 |         16 |       genericpath
import time:        22 |         38 |     posixpath
import time:       120 |        502 |   os
import time:        24 |         24 |   _sitebuiltins
import time:       103 |        103 |   encodings.utf_8_sig
import time:       319 |        319 |   _distutils_hack
import time:        26 |         26 |   sitecustomize
import time:       554 |       1526 | site
import time:       123 |        123 |         types
import time:        32 |         32 |           _operator
import time:       138 |        169 |         operator
import time:        44 |         44 |             itertools
import time:        69 |         69 |             keyword
import time:        88 |         88 |             reprlib
import time:        26 |         26 |             _collections
import time:       389 |        613 |           collections
import time:        19 |         19 |           _functools
import time:       237 |        868 |         functools
import time:       583 |       1742 |       enum
import time:        27 |         27 |         _sre
import time:       154 |        154 |           re._constants
import time:       159 |        312 |         re._parser
import time:        50 |         50 |         re._casefix
import time:       176 |        562 |       re._compiler
import time:        90 |         90 |       copyreg
import time:       223 |       2616 |     re
import time:        81 |         81 |       collections.abc
import time:        83 |         83 |           token
import time:        13 |         13 |           _tokenize
import time:       413 |        508 |         tokenize
import time:        73 |        580 |       linecache
import time:       378 |        378 |       textwrap
import time:       242 |        242 |       contextlib
import time:       285 |       1564 |     traceback
import time:       136 |        136 |     warnings
import time:       104 |        104 |       _weakrefset
import time:       170 |        273 |     weakref
import time:        12 |         12 |       _string
import time:       596 |        607 |     string
import time:       238 |        238 |     threading
import time:        16 |         16 |     atexit
import time:       781 |       6228 |   logging
import time:        34 |         34 |     math
import time:        13 |         13 |       _bisect
import time:        70 |         83 |     bisect
import time:        12 |         12 |     _random
import time:        20 |         20 |     _sha2
import time:       206 |        353 |   random
import time:       144 |        144 |   sklearn._config
import time:       345 |        345 |     sklearn.__check_build._check_build
import time:        72 |        416 |   sklearn.__check_build
import time:        49 |         49 |   sklearn._distributor_init
import time:        87 |         87 |     copy
import time:       437 |        437 |         _ast
import time:       590 |       1027 |       ast
import time:        13 |         13 |           _opcode
import time:       204 |        216 |         opcode
import time:       404 |        620 |       dis
import time:        95 |         95 |         importlib
import time:        40 |        135 |       importlib.machinery
import time:      1014 |       2794 |     inspect
import time:        42 |         42 |       _wmi
import time:       238 |        280 |     platform
import time:        81 |         81 |           numpy._utils._convertions
import time:        67 |        148 |         numpy._utils
import time:       166 |        313 |       numpy._globals
import time:        95 |         95 |       numpy.exceptions
import time:        48 |         48 |       numpy.version
import time:        11 |         11 |         numpy._distributor_init_local
import time:        51 |         61 |       numpy._distributor_init
import time:       114 |        114 |                 numpy._utils._inspect
import time:        51 |         51 |                     _datetime
import time:        82 |        132 |                   datetime
import time:       123 |        123 |                   numpy.core._exceptions
import time:        94 |         94 |                   numpy.dtypes
import time:      2683 |       3031 |                 numpy.core._multiarray_umath
import time:       108 |       3252 |               numpy.core.overrides
import time:       264 |       3516 |             numpy.core.multiarray
import time:        82 |         82 |             numpy.core.umath
