mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.026326489448547364,0.004679746869840073,0.0006044626235961914,8.28791163978626e-05,0.001,-1,40,0,"{'learning_rate': 0.001, 'max_depth': -1, 'n_estimators': 40, 'reg_lambda': 0}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,30
0.04292969703674317,0.0027074432105819468,0.0005957841873168946,5.811835667644827e-05,0.001,-1,80,0,"{'learning_rate': 0.001, 'max_depth': -1, 'n_estimators': 80, 'reg_lambda': 0}",0.8571428571428571,0.7777777777777778,0.9259259259259259,0.8888888888888888,0.7407407407407407,0.8148148148148148,0.7777777777777778,0.8518518518518519,0.7037037037037037,0.8518518518518519,0.819047619047619,0.06539477060520793,29
0.0842552661895752,0.0038306518887657676,0.0006298303604125976,3.945133055924006e-05,0.001,-1,160,0,"{'learning_rate': 0.001, 'max_depth': -1, 'n_estimators': 160, 'reg_lambda': 0}",0.8928571428571429,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8448412698412697,0.036790800890308596,28
0.17296483516693115,0.006172915058085263,0.0007439851760864258,5.003953879673089e-05,0.001,-1,320,0,"{'learning_rate': 0.001, 'max_depth': -1, 'n_estimators': 320, 'reg_lambda': 0}",0.8571428571428571,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8634920634920634,0.033194470140440475,27
0.35235683917999266,0.010304267875412682,0.0009307861328125,0.00018066704874856977,0.001,-1,640,0,"{'learning_rate': 0.001, 'max_depth': -1, 'n_estimators': 640, 'reg_lambda': 0}",0.8571428571428571,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8894179894179894,0.02262794156650064,24
0.027399778366088867,0.0007294448358254229,0.0005746841430664063,3.93246421960205e-05,0.01,-1,40,0,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 40, 'reg_lambda': 0}",0.8571428571428571,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8708994708994708,0.03389548651438511,26
0.05280892848968506,0.004538894742613664,0.0006551504135131836,3.0243930071412737e-05,0.01,-1,80,0,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 80, 'reg_lambda': 0}",0.8571428571428571,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.8894179894179894,0.02804232804232805,24
0.0953148365020752,0.0013325219385566258,0.0007193803787231446,5.423800495334176e-05,0.01,-1,160,0,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 160, 'reg_lambda': 0}",0.8571428571428571,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,1.0,0.9227513227513228,0.04120195202948526,23
0.18893833160400392,0.0027319130788422,0.0007844448089599609,3.758263384597167e-05,0.01,-1,320,0,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 320, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,0.9259259259259259,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9373015873015875,0.03325450492678533,22
0.40319271087646485,0.013684269922254046,0.0010189294815063476,6.524859671659294e-05,0.01,-1,640,0,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 640, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,0.9484126984126984,0.03378069665552047,10
0.03154275417327881,0.0011692423820747434,0.0006792306900024414,5.9119005663287284e-05,0.1,-1,40,0,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 40, 'reg_lambda': 0}",0.9285714285714286,0.8888888888888888,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,0.941005291005291,0.03767496718256547,20
0.06037769317626953,0.0013554045275321503,0.0007624149322509766,0.00012646436131679448,0.1,-1,80,0,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 80, 'reg_lambda': 0}",0.9285714285714286,0.9259259259259259,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.9410052910052912,0.029507733007031283,19
0.1130784273147583,0.002070508057791156,0.000768280029296875,5.348044946057124e-05,0.1,-1,160,0,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 160, 'reg_lambda': 0}",0.9642857142857143,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9445767195767196,0.03422042292227179,18
0.134450101852417,0.0051168775681359495,0.0008283615112304688,0.00017598405810447445,0.1,-1,320,0,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 320, 'reg_lambda': 0}",0.9642857142857143,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9629629629629629,1.0,0.9482804232804233,0.037824443559109446,15
0.16275548934936523,0.010977278835508074,0.0008673191070556641,0.00014269015540074694,0.1,-1,640,0,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 640, 'reg_lambda': 0}",0.9642857142857143,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9629629629629629,1.0,0.9482804232804233,0.037824443559109446,15
0.034311866760253905,0.0008323936038550966,0.0007224798202514649,3.819433639573309e-05,0.2,-1,40,0,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 40, 'reg_lambda': 0}",0.8928571428571429,0.9629629629629629,0.9259259259259259,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9629629629629629,1.0,0.9374338624338625,0.040286627727742975,21
0.06093759536743164,0.0017723454834528791,0.0007787942886352539,0.00012986917372370365,0.2,-1,80,0,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 80, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.9629629629629629,1.0,0.9484126984126984,0.037622917072296015,10
0.06986889839172364,0.0011970592198297118,0.0006898880004882812,3.759328027903305e-05,0.2,-1,160,0,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 160, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,1.0,0.9484126984126984,0.037622917072296015,10
0.07866721153259278,0.00109920933513432,0.0007036447525024414,3.416481669796858e-05,0.2,-1,320,0,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 320, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,1.0,0.9484126984126984,0.037622917072296015,10
0.09745473861694336,0.0009676064796945074,0.0007063150405883789,5.1247268028432455e-05,0.2,-1,640,0,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 640, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,1.0,0.9484126984126984,0.037622917072296015,10
0.03013129234313965,0.0005598351611125077,0.0006207704544067382,5.810364474567431e-05,0.5,-1,40,0,"{'learning_rate': 0.5, 'max_depth': -1, 'n_estimators': 40, 'reg_lambda': 0}",0.8928571428571429,0.9259259259259259,0.9259259259259259,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,1.0,0.9448412698412699,0.04089013528230592,17
0.03323705196380615,0.0007552382138941589,0.0006536960601806641,4.9911641192430534e-05,0.5,-1,80,0,"{'learning_rate': 0.5, 'max_depth': -1, 'n_estimators': 80, 'reg_lambda': 0}",0.8928571428571429,0.9259259259259259,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,1.0,0.9485449735449736,0.040685947142675184,6
0.037514472007751466,0.0007727529363389905,0.0006463766098022461,9.588271942625573e-05,0.5,-1,160,0,"{'learning_rate': 0.5, 'max_depth': -1, 'n_estimators': 160, 'reg_lambda': 0}",0.8928571428571429,0.9259259259259259,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,1.0,0.9485449735449736,0.040685947142675184,6
0.046987056732177734,0.0005521582297872804,0.0006407737731933594,3.9689669116471735e-05,0.5,-1,320,0,"{'learning_rate': 0.5, 'max_depth': -1, 'n_estimators': 320, 'reg_lambda': 0}",0.8928571428571429,0.9259259259259259,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,1.0,0.9485449735449736,0.040685947142675184,6
0.06677706241607666,0.006108026444228219,0.0006390094757080078,2.575313573457821e-05,0.5,-1,640,0,"{'learning_rate': 0.5, 'max_depth': -1, 'n_estimators': 640, 'reg_lambda': 0}",0.8928571428571429,0.9259259259259259,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9629629629629629,1.0,1.0,0.9485449735449736,0.040685947142675184,6
0.01991450786590576,0.0005690726882033952,0.0005408048629760743,3.4392001930298476e-05,1.0,-1,40,0,"{'learning_rate': 1, 'max_depth': -1, 'n_estimators': 40, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,1.0,0.8888888888888888,1.0,0.9259259259259259,0.8888888888888888,0.9259259259259259,1.0,1.0,0.9521164021164022,0.04382999930479417,1
0.021929025650024414,0.0005145780189487434,0.0005306243896484375,3.7220370392582754e-05,1.0,-1,80,0,"{'learning_rate': 1, 'max_depth': -1, 'n_estimators': 80, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,1.0,0.8888888888888888,1.0,0.9259259259259259,0.8888888888888888,0.9259259259259259,1.0,1.0,0.9521164021164022,0.04382999930479417,1
0.026698827743530273,0.0005780038903946178,0.0005882024765014648,8.984746185622878e-05,1.0,-1,160,0,"{'learning_rate': 1, 'max_depth': -1, 'n_estimators': 160, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,1.0,0.8888888888888888,1.0,0.9259259259259259,0.8888888888888888,0.9259259259259259,1.0,1.0,0.9521164021164022,0.04382999930479417,1
0.03565590381622315,0.0006305225338304173,0.000563502311706543,4.988378208301218e-05,1.0,-1,320,0,"{'learning_rate': 1, 'max_depth': -1, 'n_estimators': 320, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,1.0,0.8888888888888888,1.0,0.9259259259259259,0.8888888888888888,0.9259259259259259,1.0,1.0,0.9521164021164022,0.04382999930479417,1
0.05394644737243652,0.0006445515019967606,0.0006074905395507812,5.780064965141075e-05,1.0,-1,640,0,"{'learning_rate': 1, 'max_depth': -1, 'n_estimators': 640, 'reg_lambda': 0}",0.9285714285714286,0.9629629629629629,1.0,0.8888888888888888,1.0,0.9259259259259259,0.8888888888888888,0.9259259259259259,1.0,1.0,0.9521164021164022,0.04382999930479417,1
