experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
F_TableS2_fixed_parameters,LightGBM,0,271,68,0.03088645899970288,0.0006477079996329849,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9542284219703574,0.9473684210526315,0.972972972972973,0.9354838709677419,0.96,0.911241697378115,0.9947689625108981,0.9955656743415089,29,2,1,36,0.9666666666666667,0.9354838709677419,0.9570175438596491,0.9508196721311475
F_TableS2_fixed_parameters,LightGBM,1,271,68,0.027387166999687906,0.000577791000068828,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9117647058823529,0.9136878814298168,0.8787878787878788,0.9354838709677419,0.8918918918918919,0.90625,0.8245054133135634,0.986050566695728,0.9852423084735815,33,4,2,29,0.9428571428571428,0.8918918918918919,0.9108225108225108,0.9166666666666666
F_TableS2_fixed_parameters,LightGBM,2,271,68,0.02758179200009181,0.000630209000519244,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9264705882352942,0.9201754385964913,0.9629629629629629,0.8666666666666667,0.9736842105263158,0.9122807017543859,0.8527844506068446,0.9912280701754386,0.99024268110475,37,1,4,26,0.9024390243902439,0.9736842105263158,0.9327009936766034,0.9367088607594937
F_TableS2_fixed_parameters,LightGBM,3,271,68,0.028174916000352823,0.0005587079995166278,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9558823529411764,0.9428571428571428,0.9705882352941176,0.9411764705882353,0.9565217391304348,0.9121593238215746,0.9948096885813149,0.994741811321159,32,2,1,33,0.9696969696969697,0.9411764705882353,0.9562770562770563,0.9552238805970149
F_TableS2_fixed_parameters,LightGBM,4,271,68,0.02784350000001723,0.0005907919994569966,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9558823529411764,0.9428571428571428,0.9705882352941176,0.9411764705882353,0.9565217391304348,0.9121593238215746,0.9930795847750865,0.9931754402046149,32,2,1,33,0.9696969696969697,0.9411764705882353,0.9562770562770563,0.9552238805970149
F_TableS2_fixed_parameters,LightGBM,5,271,68,0.027069124999798078,0.0005824589998155716,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9705882352941178,0.9695476394047895,32,2,2,32,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
F_TableS2_fixed_parameters,LightGBM,6,271,68,0.025912875000358326,0.0005513750002137385,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9554112554112555,0.96875,0.9393939393939394,0.9714285714285714,0.9538461538461539,0.9120077065233916,0.9878787878787879,0.9892579642579641,34,1,2,31,0.9444444444444444,0.9714285714285714,0.9565972222222222,0.9577464788732394
F_TableS2_fixed_parameters,LightGBM,7,271,68,0.025527374999910535,0.0005132090000188327,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9411255411255411,0.9393939393939394,0.9393939393939394,0.9428571428571428,0.9393939393939394,0.8822510822510823,0.9722943722943722,0.9753792799341117,33,2,2,31,0.9428571428571428,0.9428571428571428,0.9411255411255411,0.9428571428571428
F_TableS2_fixed_parameters,LightGBM,8,271,68,0.025807708999309398,0.0005301669998516445,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9368421052631579,0.9642857142857143,0.9,0.9736842105263158,0.9310344827586207,0.881450445128962,0.9947368421052631,0.9936697340479321,37,1,3,27,0.925,0.9736842105263158,0.9446428571428571,0.9487179487179487
F_TableS2_fixed_parameters,LightGBM,9,271,68,0.025848416999906476,0.0006392920004145708,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.5, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": 2, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9442970822281167,0.972972972972973,0.9230769230769231,0.9655172413793104,0.9473684210526315,0.8823747062899986,0.9814323607427056,0.9861326440867325,28,1,3,36,0.9032258064516129,0.9655172413793104,0.9380993897122929,0.9333333333333333
