experiment,model,metric,mean,std,n
A_author_cleaned_code_grid,KNN,accuracy,0.9044117647058825,0.040570944503055976,10
A_author_cleaned_code_grid,KNN,balanced_accuracy,0.9037867147670438,0.04080114925413783,10
A_author_cleaned_code_grid,KNN,precision,0.8997191327717893,0.04524291942459073,10
A_author_cleaned_code_grid,KNN,recall,0.9067737488420601,0.0501979152262145,10
A_author_cleaned_code_grid,KNN,specificity,0.9007996806920275,0.045522795478665584,10
A_author_cleaned_code_grid,KNN,f1,0.9027294195076332,0.04233013699416353,10
A_author_cleaned_code_grid,KNN,mcc,0.8083733540617815,0.08120889348523501,10
A_author_cleaned_code_grid,KNN,roc_auc,0.9409771881193354,0.026051197510869616,10
A_author_cleaned_code_grid,KNN,pr_auc,0.9206185239564568,0.03366369371999403,10
A_author_cleaned_code_grid,KNN,author_printed_balanced_accuracy,0.9045962285061714,0.04050546331434003,10
A_author_cleaned_code_grid,KNN,author_printed_recall,0.9094733242405532,0.04510265085386694,10
A_author_cleaned_code_grid,KNN,author_printed_precision,0.9007996806920275,0.045522795478665584,10
A_author_cleaned_code_grid,KNN,author_printed_f1,0.9047252279194303,0.040674732414425395,10
A_author_cleaned_code_grid,LR,accuracy,0.9455882352941176,0.031806133720604556,10
A_author_cleaned_code_grid,LR,balanced_accuracy,0.9457682284717484,0.031639803607172626,10
A_author_cleaned_code_grid,LR,precision,0.9446161608053089,0.03906184065282512,10
A_author_cleaned_code_grid,LR,recall,0.9471340159575454,0.03790369068591921,10
A_author_cleaned_code_grid,LR,specificity,0.9444024409859513,0.03970633546903682,10
A_author_cleaned_code_grid,LR,f1,0.9453882383766068,0.03096039506924211,10
A_author_cleaned_code_grid,LR,mcc,0.8916060446546631,0.06379229658918925,10
A_author_cleaned_code_grid,LR,roc_auc,0.9903640592827377,0.008595374800409282,10
A_author_cleaned_code_grid,LR,pr_auc,0.9903216099620364,0.008894399344965711,10
A_author_cleaned_code_grid,LR,author_printed_balanced_accuracy,0.9458424066077586,0.0322235994621185,10
A_author_cleaned_code_grid,LR,author_printed_recall,0.9470686524102083,0.04022822619325687,10
A_author_cleaned_code_grid,LR,author_printed_precision,0.9444024409859513,0.03970633546903682,10
A_author_cleaned_code_grid,LR,author_printed_f1,0.9452605185763879,0.03302706880066656,10
A_author_cleaned_code_grid,LightGBM,accuracy,0.9397058823529412,0.017606161760850964,10
A_author_cleaned_code_grid,LightGBM,balanced_accuracy,0.9400193351656794,0.016557923953522277,10
A_author_cleaned_code_grid,LightGBM,precision,0.9425516857846704,0.016963380087328984,10
A_author_cleaned_code_grid,LightGBM,recall,0.9350299441570789,0.03501800359158271,10
A_author_cleaned_code_grid,LightGBM,specificity,0.9450087261742798,0.016195031982794445,10
A_author_cleaned_code_grid,LightGBM,f1,0.938329713341542,0.017698607019887336,10
A_author_cleaned_code_grid,LightGBM,mcc,0.8797250921233202,0.03412872488505571,10
A_author_cleaned_code_grid,LightGBM,roc_auc,0.9876107470117894,0.008289827321400808,10
A_author_cleaned_code_grid,LightGBM,pr_auc,0.987410400253116,0.008445051194527719,10
A_author_cleaned_code_grid,LightGBM,author_printed_balanced_accuracy,0.9397115576670592,0.017700518227675013,10
A_author_cleaned_code_grid,LightGBM,author_printed_recall,0.9368714295494481,0.03851827553788907,10
A_author_cleaned_code_grid,LightGBM,author_printed_precision,0.9450087261742798,0.016195031982794445,10
A_author_cleaned_code_grid,LightGBM,author_printed_f1,0.9403873061330579,0.01897465254379907,10
A_author_cleaned_code_grid,RF,accuracy,0.9382352941176471,0.030847319063828003,10
A_author_cleaned_code_grid,RF,balanced_accuracy,0.9388185630700706,0.029978571123747553,10
A_author_cleaned_code_grid,RF,precision,0.9649139619949507,0.018534986393428782,10
A_author_cleaned_code_grid,RF,recall,0.9097560606479013,0.04905686992901541,10
A_author_cleaned_code_grid,RF,specificity,0.9678810654922397,0.016937643337928524,10
A_author_cleaned_code_grid,RF,f1,0.9360326481500024,0.030892540856809075,10
A_author_cleaned_code_grid,RF,mcc,0.8783796580580214,0.059755543108213016,10
A_author_cleaned_code_grid,RF,roc_auc,0.9850403812816104,0.009766291093438554,10
A_author_cleaned_code_grid,RF,pr_auc,0.9866751462370169,0.008338191286513525,10
A_author_cleaned_code_grid,RF,author_printed_balanced_accuracy,0.93957155131638,0.02992578453728551,10
A_author_cleaned_code_grid,RF,author_printed_recall,0.9142291406378092,0.05058691724270448,10
A_author_cleaned_code_grid,RF,author_printed_precision,0.9678810654922397,0.016937643337928524,10
A_author_cleaned_code_grid,RF,author_printed_f1,0.9397855376858267,0.0315368376518239,10
A_author_cleaned_code_grid,SVM,accuracy,0.9573529411764706,0.032106907634927094,10
A_author_cleaned_code_grid,SVM,balanced_accuracy,0.9578792934675289,0.032325033127400975,10
A_author_cleaned_code_grid,SVM,precision,0.9615549401578812,0.04359665831972931,10
A_author_cleaned_code_grid,SVM,recall,0.9529423252952665,0.03501605764065028,10
A_author_cleaned_code_grid,SVM,specificity,0.9628162616397911,0.04292045359609876,10
A_author_cleaned_code_grid,SVM,f1,0.956746788567078,0.03234772584770666,10
A_author_cleaned_code_grid,SVM,mcc,0.9153828545312617,0.06425744432105013,10
A_author_cleaned_code_grid,SVM,roc_auc,0.9918482597260825,0.008121447491008632,10
A_author_cleaned_code_grid,SVM,pr_auc,0.9920417566169284,0.008336999675340653,10
A_author_cleaned_code_grid,SVM,author_printed_balanced_accuracy,0.9575109200571724,0.03205287442081444,10
A_author_cleaned_code_grid,SVM,author_printed_recall,0.9534668999564635,0.034345552000776276,10
A_author_cleaned_code_grid,SVM,author_printed_precision,0.9628162616397911,0.04292045359609876,10
A_author_cleaned_code_grid,SVM,author_printed_f1,0.9576655586192693,0.03198761076433382,10
B_author_cleaned_MCC_grid,SVM,accuracy,0.9573529411764706,0.032106907634927094,10
B_author_cleaned_MCC_grid,SVM,balanced_accuracy,0.9578792934675289,0.032325033127400975,10
B_author_cleaned_MCC_grid,SVM,precision,0.9615549401578812,0.04359665831972931,10
B_author_cleaned_MCC_grid,SVM,recall,0.9529423252952665,0.03501605764065028,10
B_author_cleaned_MCC_grid,SVM,specificity,0.9628162616397911,0.04292045359609876,10
B_author_cleaned_MCC_grid,SVM,f1,0.956746788567078,0.03234772584770666,10
B_author_cleaned_MCC_grid,SVM,mcc,0.9153828545312617,0.06425744432105013,10
B_author_cleaned_MCC_grid,SVM,roc_auc,0.9918482597260825,0.008121447491008632,10
B_author_cleaned_MCC_grid,SVM,pr_auc,0.9920417566169284,0.008336999675340653,10
B_author_cleaned_MCC_grid,SVM,author_printed_balanced_accuracy,0.9575109200571724,0.03205287442081444,10
B_author_cleaned_MCC_grid,SVM,author_printed_recall,0.9534668999564635,0.034345552000776276,10
B_author_cleaned_MCC_grid,SVM,author_printed_precision,0.9628162616397911,0.04292045359609876,10
B_author_cleaned_MCC_grid,SVM,author_printed_f1,0.9576655586192693,0.03198761076433382,10
C_independent_ESM_CleanLab_code_grid,SVM,accuracy,0.952112676056338,0.020138601492513817,10
C_independent_ESM_CleanLab_code_grid,SVM,balanced_accuracy,0.9529672165711631,0.019188560321769743,10
C_independent_ESM_CleanLab_code_grid,SVM,precision,0.9321720413146559,0.04203800407906436,10
C_independent_ESM_CleanLab_code_grid,SVM,recall,0.9701676342580041,0.023643222010863295,10
C_independent_ESM_CleanLab_code_grid,SVM,specificity,0.9357667988843217,0.0398968970320921,10
C_independent_ESM_CleanLab_code_grid,SVM,f1,0.9501324251477545,0.022516594743085615,10
C_independent_ESM_CleanLab_code_grid,SVM,mcc,0.9053184308942821,0.03948058002580043,10
C_independent_ESM_CleanLab_code_grid,SVM,roc_auc,0.9942258502327768,0.004910325311995425,10
C_independent_ESM_CleanLab_code_grid,SVM,pr_auc,0.9936093482975528,0.005215414891289094,10
C_independent_ESM_CleanLab_code_grid,SVM,author_printed_balanced_accuracy,0.9523701634329662,0.020715928241447638,10
C_independent_ESM_CleanLab_code_grid,SVM,author_printed_recall,0.9725682855512765,0.023089908394290024,10
C_independent_ESM_CleanLab_code_grid,SVM,author_printed_precision,0.9357667988843217,0.0398968970320921,10
C_independent_ESM_CleanLab_code_grid,SVM,author_printed_f1,0.9531277371959224,0.019332538382596045,10
D_author_LSTM_split42_harness_seed0,LSTM,accuracy,0.9264705882352942,,1
D_author_LSTM_split42_harness_seed0,LSTM,balanced_accuracy,0.9268398268398268,,1
D_author_LSTM_split42_harness_seed0,LSTM,precision,0.9411764705882352,,1
D_author_LSTM_split42_harness_seed0,LSTM,recall,0.9142857142857144,,1
D_author_LSTM_split42_harness_seed0,LSTM,specificity,0.9393939393939394,,1
D_author_LSTM_split42_harness_seed0,LSTM,f1,0.927536231884058,,1
D_author_LSTM_split42_harness_seed0,LSTM,mcc,0.8533103351879247,,1
D_author_LSTM_split42_harness_seed0,LSTM,roc_auc,0.9584415584415584,,1
D_author_LSTM_split42_harness_seed0,LSTM,pr_auc,0.9215535246199372,,1
D_author_LSTM_split42_harness_seed0,LSTM,author_printed_balanced_accuracy,0.9264705882352942,,1
D_author_LSTM_split42_harness_seed0,LSTM,author_printed_recall,0.9117647058823528,,1
D_author_LSTM_split42_harness_seed0,LSTM,author_printed_precision,0.9393939393939394,,1
D_author_LSTM_split42_harness_seed0,LSTM,author_printed_f1,0.9253731343283582,,1
E_independent_LSTM_10_splits,LSTM,accuracy,0.9455882352941176,0.031041451370563838,10
E_independent_LSTM_10_splits,LSTM,balanced_accuracy,0.9450399645920813,0.030594925287852057,10
E_independent_LSTM_10_splits,LSTM,precision,0.9479569942011892,0.043217749322993326,10
E_independent_LSTM_10_splits,LSTM,recall,0.9432465056184223,0.0325640552975305,10
E_independent_LSTM_10_splits,LSTM,specificity,0.9468334235657405,0.04317262681009506,10
E_independent_LSTM_10_splits,LSTM,f1,0.9451307179811321,0.03088324635189459,10
E_independent_LSTM_10_splits,LSTM,mcc,0.8914438965320934,0.062443013868243795,10
E_independent_LSTM_10_splits,LSTM,roc_auc,0.984034674284682,0.01689455482529721,10
E_independent_LSTM_10_splits,LSTM,pr_auc,0.9798245468482369,0.02276621003517764,10
E_independent_LSTM_10_splits,LSTM,author_printed_balanced_accuracy,0.9464100524733265,0.031923100516051524,10
E_independent_LSTM_10_splits,LSTM,author_printed_recall,0.9448631107454636,0.032526866782422705,10
E_independent_LSTM_10_splits,LSTM,author_printed_precision,0.9468334235657405,0.04317262681009506,10
E_independent_LSTM_10_splits,LSTM,author_printed_f1,0.9454296557624134,0.03168818806901662,10
F_TableS2_fixed_parameters,KNN,accuracy,0.9117647058823529,0.02941176470588234,10
F_TableS2_fixed_parameters,KNN,balanced_accuracy,0.9112320249243286,0.029244767930155652,10
F_TableS2_fixed_parameters,KNN,precision,0.9111930009819005,0.05270864945469617,10
F_TableS2_fixed_parameters,KNN,recall,0.9132019417408411,0.04388645669261073,10
F_TableS2_fixed_parameters,KNN,specificity,0.9092621081078155,0.05273375333132361,10
F_TableS2_fixed_parameters,KNN,f1,0.9107177924649565,0.0291481293202749,10
F_TableS2_fixed_parameters,KNN,mcc,0.8247325363231145,0.059024245849372256,10
F_TableS2_fixed_parameters,KNN,roc_auc,0.9478212664895992,0.025681213847658015,10
F_TableS2_fixed_parameters,KNN,pr_auc,0.9291382433207213,0.03515591228735716,10
F_TableS2_fixed_parameters,KNN,author_printed_balanced_accuracy,0.9135411737308854,0.03039451431156063,10
F_TableS2_fixed_parameters,KNN,author_printed_recall,0.91588934647987,0.03593393991183478,10
F_TableS2_fixed_parameters,KNN,author_printed_precision,0.9092621081078155,0.05273375333132361,10
F_TableS2_fixed_parameters,KNN,author_printed_f1,0.9115476604532056,0.031226717388433325,10
F_TableS2_fixed_parameters,LR,accuracy,0.9294117647058823,0.033101849051243394,10
F_TableS2_fixed_parameters,LR,balanced_accuracy,0.9296713737805662,0.0333696270511583,10
F_TableS2_fixed_parameters,LR,precision,0.9294412126954821,0.03539088041274041,10
F_TableS2_fixed_parameters,LR,recall,0.9296212213859272,0.04741674836641472,10
F_TableS2_fixed_parameters,LR,specificity,0.9297215261752052,0.03778696672272859,10
F_TableS2_fixed_parameters,LR,f1,0.9288607987332498,0.03222287410096425,10
