experiment,metric,paper_mean,paper_std,reproduced_mean,reproduced_std,signed_difference,absolute_difference,relative_difference,std_difference,n
A_author_cleaned_code_grid,balanced_accuracy,0.963,0.022,0.9578792934675289,0.032325033127400975,-0.005120706532471098,0.005120706532471098,0.005317452266325127,0.010325033127400976,10
A_author_cleaned_code_grid,precision,0.951,0.03,0.9615549401578812,0.04359665831972931,0.010554940157881276,0.010554940157881276,0.0110987803973515,0.01359665831972931,10
A_author_cleaned_code_grid,recall,0.976,0.024,0.9529423252952665,0.03501605764065028,-0.023057674704733522,0.023057674704733522,0.02362466670566959,0.011016057640650279,10
A_author_cleaned_code_grid,mcc,0.927,0.044,0.9153828545312617,0.06425744432105013,-0.011617145468738377,0.011617145468738377,0.012531980009426512,0.02025744432105013,10
B_author_cleaned_MCC_grid,balanced_accuracy,0.963,0.022,0.9578792934675289,0.032325033127400975,-0.005120706532471098,0.005120706532471098,0.005317452266325127,0.010325033127400976,10
B_author_cleaned_MCC_grid,precision,0.951,0.03,0.9615549401578812,0.04359665831972931,0.010554940157881276,0.010554940157881276,0.0110987803973515,0.01359665831972931,10
B_author_cleaned_MCC_grid,recall,0.976,0.024,0.9529423252952665,0.03501605764065028,-0.023057674704733522,0.023057674704733522,0.02362466670566959,0.011016057640650279,10
B_author_cleaned_MCC_grid,mcc,0.927,0.044,0.9153828545312617,0.06425744432105013,-0.011617145468738377,0.011617145468738377,0.012531980009426512,0.02025744432105013,10
C_independent_ESM_CleanLab_code_grid,balanced_accuracy,0.963,0.022,0.9529672165711631,0.019188560321769743,-0.010032783428836844,0.010032783428836844,0.010418259012291636,-0.0028114396782302556,10
C_independent_ESM_CleanLab_code_grid,precision,0.951,0.03,0.9321720413146559,0.04203800407906436,-0.018827958685344037,0.018827958685344037,0.01979806381213884,0.012038004079064364,10
C_independent_ESM_CleanLab_code_grid,recall,0.976,0.024,0.9701676342580041,0.023643222010863295,-0.00583236574199586,0.00583236574199586,0.005975784571717069,-0.00035677798913670566,10
C_independent_ESM_CleanLab_code_grid,mcc,0.927,0.044,0.9053184308942821,0.03948058002580043,-0.021681569105717946,0.021681569105717946,0.023388963436588937,-0.004519419974199565,10
F_TableS2_fixed_parameters,balanced_accuracy,0.963,0.022,0.9301261133559489,0.03135430809770212,-0.03287388664405111,0.03287388664405111,0.03413695393982462,0.009354308097702123,10
F_TableS2_fixed_parameters,precision,0.951,0.03,0.9258449587861353,0.03889096343032659,-0.025155041213864693,0.025155041213864693,0.026451147438343526,0.008890963430326589,10
F_TableS2_fixed_parameters,recall,0.976,0.024,0.9320070708306002,0.05105430653525914,-0.043992929169399786,0.043992929169399786,0.04507472250963093,0.027054306535259143,10
F_TableS2_fixed_parameters,mcc,0.927,0.044,0.8599244883357127,0.061380072372431885,-0.06707551166428738,0.06707551166428738,0.0723576177608278,0.017380072372431887,10
