experiment,model,seed,train_size,test_size,preprocessing,training_seconds,inference_seconds,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
E_independent_LSTM_10_splits,LSTM,0,271,68,"reshape (n,320) -> (n,1,320)",2.760239041999739,0.16846229100065102,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed0,0.9264705882352942,0.9245858761987794,0.9210526315789473,0.9459459459459459,0.9032258064516129,0.9333333333333333,0.8517748687584299,0.989537925021796,0.991566629801924,28,3,2,35,0.9333333333333333,0.9032258064516129,0.9271929824561403,0.9180327868852459
E_independent_LSTM_10_splits,LSTM,1,271,68,"reshape (n,320) -> (n,1,320)",2.76355679199969,0.17010220799966191,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed1,0.9264705882352942,0.9272013949433304,0.90625,0.9354838709677419,0.918918918918919,0.9206349206349206,0.8525466008813926,0.9825632083696599,0.9722703697090442,34,3,2,29,0.9444444444444444,0.918918918918919,0.9253472222222222,0.9315068493150684
E_independent_LSTM_10_splits,LSTM,2,271,68,"reshape (n,320) -> (n,1,320)",2.8775830419999693,0.16980987500028277,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed2,0.9852941176470589,0.9833333333333334,1.0,0.9666666666666667,1.0,0.9830508474576272,0.9705051993061871,0.9956140350877194,0.9952380952380953,38,0,1,29,0.9743589743589743,1.0,0.9871794871794872,0.987012987012987
E_independent_LSTM_10_splits,LSTM,3,271,68,"reshape (n,320) -> (n,1,320)",2.7480823340001734,0.1696648750003078,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed3,0.9705882352941176,0.9705882352941176,1.0,0.9411764705882353,1.0,0.9696969696969697,0.9428090415820634,0.9974048442906575,0.9975009611687813,34,0,2,32,0.9444444444444444,1.0,0.9722222222222222,0.9714285714285714
E_independent_LSTM_10_splits,LSTM,4,271,68,"reshape (n,320) -> (n,1,320)",2.7387884159998066,0.1703637919999892,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed4,0.9705882352941176,0.9705882352941176,0.9444444444444444,1.0,0.9411764705882353,0.9714285714285714,0.9428090415820634,0.9792387543252595,0.9589413007633947,32,2,0,34,1.0,0.9411764705882353,0.9722222222222222,0.9696969696969697
E_independent_LSTM_10_splits,LSTM,5,271,68,"reshape (n,320) -> (n,1,320)",2.7521287499994287,0.16882483400058845,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed5,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.9429065743944637,0.9286149317080414,30,4,4,30,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
E_independent_LSTM_10_splits,LSTM,6,271,68,"reshape (n,320) -> (n,1,320)",2.74551454199991,0.1693422920006924,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed6,0.9411764705882353,0.9419913419913419,0.9142857142857143,0.9696969696969697,0.9142857142857143,0.9411764705882353,0.883982683982684,0.9896103896103896,0.990909090909091,32,3,1,32,0.9696969696969697,0.9142857142857143,0.9419913419913419,0.9411764705882353
E_independent_LSTM_10_splits,LSTM,7,271,68,"reshape (n,320) -> (n,1,320)",2.7483769999998913,0.16888849999941158,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed7,0.9264705882352942,0.9259740259740259,0.9375,0.9090909090909091,0.9428571428571428,0.9230769230769231,0.8530566380408909,0.9714285714285715,0.9688553195315834,33,2,3,30,0.9166666666666666,0.9428571428571428,0.9270833333333333,0.9295774647887324
E_independent_LSTM_10_splits,LSTM,8,271,68,"reshape (n,320) -> (n,1,320)",2.7447207080003864,0.1688909579997926,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed8,0.9705882352941176,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.941629792788369,1.0,1.0,38,0,2,28,0.95,1.0,0.975,0.9743589743589743
E_independent_LSTM_10_splits,LSTM,9,271,68,"reshape (n,320) -> (n,1,320)",2.736091167000268,0.16909437499998603,LSTM128/64/32; Dense64/10/1; Dropout .15; Adam; 100 epochs; batch32; harness seed9,0.9558823529411765,0.9571175950486295,0.9736842105263158,0.9487179487179487,0.9655172413793104,0.961038961038961,0.9106192160459141,0.9920424403183024,0.9943487696524134,28,1,2,37,0.9333333333333333,0.9655172413793104,0.9535087719298245,0.9491525423728814
