dataset,seed,train_size,test_size,exact_duplicate_pairs,pairs_gt_08,pairs_gt_09,test_sequences_gt_08,test_sequences_gt_09,maximum_similarity
author_cleaned,2001,271,68,0,24,1,14,1,0.9090909090909091
author_cleaned,0,271,68,0,31,1,14,1,0.9090909090909091
author_cleaned,1,271,68,0,30,2,17,1,0.9090909090909091
author_cleaned,2,271,68,0,27,0,16,0,0.8888888888888888
author_cleaned,3,271,68,0,39,0,17,0,0.9
author_cleaned,4,271,68,0,26,0,15,0,0.875
author_cleaned,5,271,68,0,29,1,15,1,0.9090909090909091
author_cleaned,6,271,68,0,29,1,14,1,0.9090909090909091
author_cleaned,7,271,68,0,30,0,14,0,0.9
author_cleaned,8,271,68,0,25,0,12,0,0.9
author_cleaned,9,271,68,0,36,0,16,0,0.8888888888888888
independent_cleaned,2001,282,71,0,35,1,18,1,0.9090909090909091
independent_cleaned,0,282,71,0,31,1,16,1,0.9090909090909091
independent_cleaned,1,282,71,0,24,1,9,1,0.9090909090909091
independent_cleaned,2,282,71,0,34,1,17,1,0.9090909090909091
independent_cleaned,3,282,71,0,36,2,18,2,0.9090909090909091
independent_cleaned,4,282,71,0,28,0,16,0,0.875
independent_cleaned,5,282,71,0,27,2,12,1,0.9090909090909091
independent_cleaned,6,282,71,0,29,0,14,0,0.9
independent_cleaned,7,282,71,0,31,2,16,2,0.9090909090909091
independent_cleaned,8,282,71,0,49,2,21,2,0.9090909090909091
independent_cleaned,9,282,71,0,42,2,21,2,0.9090909090909091
