experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
A_author_cleaned_code_grid,LightGBM,0,271,68,0.020973833998141345,0.0007267909968504682,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9542284219703574,0.9473684210526315,0.972972972972973,0.9354838709677419,0.96,0.911241697378115,0.996512641673932,0.9971915235073128,29,2,1,36,0.9666666666666667,0.9354838709677419,0.9570175438596491,0.9508196721311475
A_author_cleaned_code_grid,LightGBM,1,271,68,0.021262875001411885,0.0008441669997409917,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9568439407149085,0.9375,0.967741935483871,0.9459459459459459,0.9523809523809523,0.9117028956364279,0.992153443766347,0.9907383485965422,35,2,1,30,0.9722222222222222,0.9459459459459459,0.9548611111111112,0.958904109589041
A_author_cleaned_code_grid,LightGBM,2,271,68,0.020473083000979386,0.0008684580025146715,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9403508771929825,0.9333333333333333,0.9333333333333333,0.9473684210526315,0.9333333333333333,0.8807017543859649,0.9842105263157894,0.9837767210971233,36,2,2,28,0.9473684210526315,0.9473684210526315,0.9403508771929825,0.9473684210526315
A_author_cleaned_code_grid,LightGBM,3,271,68,0.020981292000215035,0.0008377920021302998,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9558823529411764,0.9428571428571428,0.9705882352941176,0.9411764705882353,0.9565217391304348,0.9121593238215746,0.9965397923875432,0.9967502104180306,32,2,1,33,0.9696969696969697,0.9411764705882353,0.9562770562770563,0.9552238805970149
A_author_cleaned_code_grid,LightGBM,4,271,68,0.02058454099460505,0.0007643330027349293,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9922145328719723,0.9930496106966695,32,2,2,32,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
A_author_cleaned_code_grid,LightGBM,5,271,68,0.019840375003695954,0.0008175830007530749,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9264705882352942,0.9264705882352942,0.9142857142857143,0.9411764705882353,0.9117647058823529,0.927536231884058,0.8533103351879247,0.9749134948096887,0.9735224902146786,31,3,2,32,0.9393939393939394,0.9117647058823529,0.9268398268398268,0.9253731343283582
A_author_cleaned_code_grid,LightGBM,6,271,68,0.021243166003841907,0.0008751249988563359,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9558823529411765,0.9554112554112555,0.96875,0.9393939393939394,0.9714285714285714,0.9538461538461539,0.9120077065233916,0.9956709956709956,0.9958057230784503,34,1,2,31,0.9444444444444444,0.9714285714285714,0.9565972222222222,0.9577464788732394
A_author_cleaned_code_grid,LightGBM,7,271,68,0.020304709003539756,0.0007692919971304946,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9117647058823529,0.9108225108225108,0.9354838709677419,0.8787878787878788,0.9428571428571428,0.90625,0.8245054133135634,0.9826839826839826,0.9802313368249249,33,2,4,29,0.8918918918918919,0.9428571428571428,0.9136878814298168,0.9166666666666666
A_author_cleaned_code_grid,LightGBM,8,271,68,0.02022479099832708,0.000888833004864864,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9411764705882353,0.9403508771929825,0.9333333333333333,0.9333333333333333,0.9473684210526315,0.9333333333333333,0.8807017543859649,0.9859649122807017,0.9845667095667096,36,2,2,28,0.9473684210526315,0.9473684210526315,0.9403508771929825,0.9473684210526315
A_author_cleaned_code_grid,LightGBM,9,271,68,0.020630250000976957,0.0007513329983339645,none,"{""boosting"": ""gbdt"", ""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 1, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 40, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": null, ""reg_alpha"": 0.0, ""reg_lambda"": 0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbose"": -1}",0.9117647058823529,0.9186560565870912,0.9714285714285714,0.8717948717948718,0.9655172413793104,0.918918918918919,0.8285670994238042,0.9752431476569408,0.9784713285307186,28,1,5,34,0.8484848484848485,0.9655172413793104,0.90995670995671,0.9032258064516129
