experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
A_author_cleaned_code_grid,RF,0,271,68,0.2468162500008475,0.04218279199994868,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9117647058823529,0.9110723626852659,0.918918918918919,0.918918918918919,0.9032258064516129,0.918918918918919,0.8221447253705318,0.979075850043592,0.9841168247876939,28,3,3,34,0.9032258064516129,0.9032258064516129,0.9110723626852659,0.9032258064516129
A_author_cleaned_code_grid,RF,1,271,68,0.23167524999735178,0.04014979200292146,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.970357454228422,0.967741935483871,0.967741935483871,0.972972972972973,0.967741935483871,0.9407149084568439,0.998256320836966,0.9980449657869012,36,1,1,30,0.972972972972973,0.972972972972973,0.970357454228422,0.972972972972973
A_author_cleaned_code_grid,RF,2,271,68,0.24569350000092527,0.04289762499684002,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9535087719298245,0.9655172413793104,0.9333333333333333,0.9736842105263158,0.9491525423728814,0.9106192160459141,0.9929824561403509,0.9917870826491516,37,1,2,28,0.9487179487179487,0.9736842105263158,0.9571175950486295,0.961038961038961
A_author_cleaned_code_grid,RF,3,271,68,0.22489112500625197,0.028334750000794884,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.9705882352941176,1.0,0.9411764705882353,1.0,0.9696969696969697,0.9428090415820634,0.995674740484429,0.9962292609351433,34,0,2,32,0.9444444444444444,1.0,0.9722222222222222,0.9714285714285714
A_author_cleaned_code_grid,RF,4,271,68,0.24687108299985994,0.03658454199467087,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.9264705882352942,0.9393939393939394,0.9117647058823529,0.9411764705882353,0.9253731343283582,0.8533103351879247,0.9749134948096885,0.9778395713177391,32,2,3,31,0.9142857142857143,0.9411764705882353,0.9268398268398268,0.927536231884058
A_author_cleaned_code_grid,RF,5,271,68,0.22627587500028312,0.029872291001083795,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.8823529411764706,0.8823529411764706,0.90625,0.8529411764705882,0.9117647058823529,0.8787878787878788,0.7660323462854265,0.96280276816609,0.9650590401060859,31,3,5,29,0.8611111111111112,0.9117647058823529,0.8836805555555556,0.8857142857142857
A_author_cleaned_code_grid,RF,6,271,68,0.22436070900585037,0.02953337500366615,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9554112554112555,0.96875,0.9393939393939394,0.9714285714285714,0.9538461538461539,0.9120077065233916,0.9913419913419914,0.9918542092479041,34,1,2,31,0.9444444444444444,0.9714285714285714,0.9565972222222222,0.9577464788732394
A_author_cleaned_code_grid,RF,7,271,68,0.22375083299994003,0.04214687499916181,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9554112554112555,0.96875,0.9393939393939394,0.9714285714285714,0.9538461538461539,0.9120077065233916,0.980952380952381,0.9813721979148231,34,1,2,31,0.9444444444444444,0.9714285714285714,0.9565972222222222,0.9577464788732394
A_author_cleaned_code_grid,RF,8,271,68,0.21572912499686936,0.0268092499973136,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9570175438596491,0.9354838709677419,0.9666666666666667,0.9473684210526315,0.9508196721311475,0.911241697378115,0.992982456140351,0.9919381323163303,36,2,1,29,0.972972972972973,0.9473684210526315,0.9542284219703574,0.96
A_author_cleaned_code_grid,RF,9,271,68,0.22758804199838778,0.03156954199948814,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 480, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.9314765694076039,0.9722222222222222,0.8974358974358975,0.9655172413793104,0.9333333333333333,0.8550515048467328,0.9849690539345712,0.9899338796971349,28,1,4,35,0.875,0.9655172413793104,0.9236111111111112,0.9180327868852459
