experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
F_TableS2_fixed_parameters,RF,0,271,68,0.08849620800174307,0.031529207997664344,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.9272013949433304,0.9444444444444444,0.918918918918919,0.9354838709677419,0.9315068493150684,0.8525466008813926,0.981691368788143,0.9857951796707174,29,2,3,34,0.90625,0.9354838709677419,0.9253472222222222,0.9206349206349206
F_TableS2_fixed_parameters,RF,1,271,68,0.09094058299524477,0.03145912499894621,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.970357454228422,0.967741935483871,0.967741935483871,0.972972972972973,0.967741935483871,0.9407149084568439,0.997384481255449,0.9971537001897532,36,1,1,30,0.972972972972973,0.972972972972973,0.970357454228422,0.972972972972973
F_TableS2_fixed_parameters,RF,2,271,68,0.07566287500230828,0.026384459000837523,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9535087719298245,0.9655172413793104,0.9333333333333333,0.9736842105263158,0.9491525423728814,0.9106192160459141,0.9859649122807018,0.9843261716465739,37,1,2,28,0.9487179487179487,0.9736842105263158,0.9571175950486295,0.961038961038961
F_TableS2_fixed_parameters,RF,3,271,68,0.08099412499723257,0.031429249997017905,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.9705882352941176,1.0,0.9411764705882353,1.0,0.9696969696969697,0.9428090415820634,0.9948096885813149,0.9953642090320292,34,0,2,32,0.9444444444444444,1.0,0.9722222222222222,0.9714285714285714
F_TableS2_fixed_parameters,RF,4,271,68,0.09105370900215348,0.028354417001537513,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9117647058823529,0.9117647058823529,0.9375,0.8823529411764706,0.9411764705882353,0.9090909090909091,0.8249579113843054,0.9826989619377162,0.9841284230406516,32,2,4,30,0.8888888888888888,0.9411764705882353,0.9131944444444444,0.9142857142857143
F_TableS2_fixed_parameters,RF,5,271,68,0.09085037499608006,0.026829750000615604,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.8676470588235294,0.8676470588235294,0.8787878787878788,0.8529411764705882,0.8823529411764706,0.8656716417910447,0.7356123579206246,0.9662629757785467,0.9678283015351116,30,4,5,29,0.8571428571428571,0.8823529411764706,0.8679653679653679,0.8695652173913043
F_TableS2_fixed_parameters,RF,6,271,68,0.07381924999936018,0.027442040998721495,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.9268398268398268,0.9117647058823529,0.9393939393939394,0.9142857142857143,0.9253731343283582,0.8533103351879247,0.9913419913419914,0.9914908697697321,32,3,2,31,0.9411764705882353,0.9142857142857143,0.9264705882352942,0.927536231884058
F_TableS2_fixed_parameters,RF,7,271,68,0.08332937500381377,0.026893334004853386,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9411764705882353,0.9402597402597402,0.967741935483871,0.9090909090909091,0.9714285714285714,0.9375,0.8835848317596354,0.9705627705627706,0.9737703220544551,34,1,3,30,0.918918918918919,0.9714285714285714,0.9433304272013949,0.9444444444444444
F_TableS2_fixed_parameters,RF,8,271,68,0.08121166699856985,0.02927254200039897,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.9701754385964912,0.9666666666666667,0.9666666666666667,0.9736842105263158,0.9666666666666667,0.9403508771929825,0.9947368421052631,0.9935186843807533,37,1,1,29,0.9736842105263158,0.9736842105263158,0.9701754385964912,0.9736842105263158
F_TableS2_fixed_parameters,RF,9,271,68,0.08223545899818419,0.026534875003562775,none,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 160, ""n_jobs"": 2, ""oob_score"": false, ""random_state"": 0, ""verbose"": 0, ""warm_start"": false}",0.9117647058823529,0.9186560565870912,0.9714285714285714,0.8717948717948718,0.9655172413793104,0.918918918918919,0.8285670994238042,0.9823165340406721,0.9876052586385404,28,1,5,34,0.8484848484848485,0.9655172413793104,0.90995670995671,0.9032258064516129
