experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
F_TableS2_fixed_parameters,SVM,0,271,68,0.0019160000010742806,0.0007385830031125806,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9264705882352942,0.9272013949433304,0.9444444444444444,0.918918918918919,0.9354838709677419,0.9315068493150684,0.8525466008813926,0.9773321708805579,0.9833842246311661,29,2,3,34,0.90625,0.9354838709677419,0.9253472222222222,0.9206349206349206
F_TableS2_fixed_parameters,SVM,1,271,68,0.0017372920046909712,0.0006850420031696558,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9264705882352942,0.9324324324324325,0.8611111111111112,1.0,0.8648648648648649,0.9253731343283582,0.862985947014634,0.993025283347864,0.9917971336675809,32,5,0,31,1.0,0.8648648648648649,0.9305555555555556,0.927536231884058
F_TableS2_fixed_parameters,SVM,2,271,68,0.0019913330033887178,0.0007145000054151751,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9705882352941176,0.9701754385964912,0.9666666666666667,0.9666666666666667,0.9736842105263158,0.9666666666666667,0.9403508771929825,0.9991228070175439,0.9989247311827957,37,1,1,29,0.9736842105263158,0.9736842105263158,0.9701754385964912,0.9736842105263158
F_TableS2_fixed_parameters,SVM,3,271,68,0.0018722499953582883,0.0006946249995962717,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9558823529411765,0.9558823529411764,0.9696969696969697,0.9411764705882353,0.9705882352941176,0.9552238805970149,0.9121593238215746,0.9922145328719723,0.9919964696305841,33,1,2,32,0.9428571428571428,0.9705882352941176,0.9562770562770563,0.9565217391304348
F_TableS2_fixed_parameters,SVM,4,271,68,0.0019398330041440204,0.0008119580015772954,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9411764705882353,0.9411764705882353,0.9166666666666666,0.9705882352941176,0.9117647058823529,0.9428571428571428,0.8838834764831844,0.9887543252595156,0.9892007381745722,31,3,1,33,0.96875,0.9117647058823529,0.9427083333333333,0.9393939393939394
F_TableS2_fixed_parameters,SVM,5,271,68,0.0023652919990126975,0.000770792001276277,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.8970588235294118,0.8970588235294117,0.8857142857142857,0.9117647058823529,0.8823529411764706,0.8985507246376812,0.7944613465542747,0.9671280276816608,0.9669893926907476,30,4,3,31,0.9090909090909091,0.8823529411764706,0.8974025974025974,0.8955223880597015
F_TableS2_fixed_parameters,SVM,6,271,68,0.0019493329964461736,0.0009037499985424802,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9558823529411765,0.9562770562770563,0.9411764705882353,0.9696969696969697,0.9428571428571428,0.9552238805970149,0.9121593238215746,0.9878787878787879,0.9909735654416504,33,2,1,32,0.9705882352941176,0.9428571428571428,0.9558823529411764,0.9565217391304348
F_TableS2_fixed_parameters,SVM,7,271,68,0.001935125001182314,0.0007230420014820993,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.8676470588235294,0.8662337662337662,0.9,0.8181818181818182,0.9142857142857143,0.8571428571428571,0.737270649718563,0.9774891774891774,0.976670826400931,32,3,6,27,0.8421052631578947,0.9142857142857143,0.8710526315789473,0.8767123287671232
F_TableS2_fixed_parameters,SVM,8,271,68,0.0018977500003529713,0.0007357079957728274,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9117647058823529,0.9105263157894736,0.9,0.9,0.9210526315789473,0.9,0.8210526315789474,0.9868421052631579,0.9841324179248669,35,3,3,27,0.9210526315789473,0.9210526315789473,0.9105263157894736,0.9210526315789473
F_TableS2_fixed_parameters,SVM,9,271,68,0.0018930000005639158,0.0007064999954309314,none,"{""C"": 10, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 1, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9411764705882353,0.9442970822281167,0.972972972972973,0.9230769230769231,0.9655172413793104,0.9473684210526315,0.8823747062899986,0.9929266136162688,0.994806431648537,28,1,3,36,0.9032258064516129,0.9655172413793104,0.9380993897122929,0.9333333333333333
