experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
A_author_cleaned_code_grid,SVM,0,271,68,0.001413792000676,0.0004626250010915,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9705882352941176,0.972972972972973,1.0,0.945945945945946,1.0,0.9722222222222222,0.9426642502057074,0.994768962510898,0.9962287869264612,31,0,2,35,0.9393939393939394,1.0,0.9696969696969697,0.96875
A_author_cleaned_code_grid,SVM,1,271,68,0.0016137089987751,0.0005501670020748,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9558823529411764,0.9594594594594594,0.9117647058823528,1.0,0.918918918918919,0.953846153846154,0.9153348228041136,0.994768962510898,0.993925501593942,34,3,0,31,1.0,0.918918918918919,0.9558823529411764,0.9577464788732394
A_author_cleaned_code_grid,SVM,2,271,68,0.0017257500003324,0.0005310410051606,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9705882352941176,0.9666666666666668,1.0,0.9333333333333332,1.0,0.9655172413793104,0.941629792788369,1.0,1.0,38,0,2,28,0.95,1.0,0.975,0.9743589743589743
A_author_cleaned_code_grid,SVM,3,271,68,0.001556208000693,0.0005425409981398,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,0,0,34,1.0,1.0,1.0,1.0
A_author_cleaned_code_grid,SVM,4,271,68,0.0016284169978462,0.0005092089995741,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,0.986159169550173,0.9853364082009858,32,2,2,32,0.9411764705882352,0.9411764705882352,0.9411764705882353,0.9411764705882353
A_author_cleaned_code_grid,SVM,5,271,68,0.0012714580007013,0.0004306249975343,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.8970588235294118,0.8970588235294117,0.8857142857142857,0.9117647058823528,0.8823529411764706,0.8985507246376812,0.7944613465542747,0.976643598615917,0.9772946248103948,30,4,3,31,0.9090909090909092,0.8823529411764706,0.8974025974025974,0.8955223880597015
A_author_cleaned_code_grid,SVM,6,271,68,0.0015025839966256,0.000608333000855,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9411764705882352,0.9411255411255413,0.9393939393939394,0.9393939393939394,0.9428571428571428,0.9393939393939394,0.8822510822510823,0.9878787878787878,0.9896947415329768,33,2,2,31,0.9428571428571428,0.9428571428571428,0.9411255411255411,0.9428571428571428
A_author_cleaned_code_grid,SVM,7,271,68,0.0013810000018565,0.000457041998743,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9264705882352942,0.925974025974026,0.9375,0.9090909090909092,0.9428571428571428,0.9230769230769232,0.8530566380408909,0.9826839826839826,0.980980176987986,33,2,3,30,0.9166666666666666,0.9428571428571428,0.9270833333333333,0.9295774647887324
A_author_cleaned_code_grid,SVM,8,271,68,0.0015937499993015,0.0005172919991309,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38,0,0,30,1.0,1.0,1.0,1.0
A_author_cleaned_code_grid,SVM,9,271,68,0.0014714589997311,0.000497416993312,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9705882352941176,0.9743589743589745,1.0,0.9487179487179488,1.0,0.9736842105263158,0.94207767149171,0.995579133510168,0.996957326116539,29,0,2,37,0.935483870967742,1.0,0.967741935483871,0.9666666666666667
B_author_cleaned_MCC_grid,SVM,0,271,68,0.0017109170003095,0.0006471250017057,none,"{""C"": 30, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 5, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9705882352941176,0.972972972972973,1.0,0.945945945945946,1.0,0.9722222222222222,0.9426642502057074,0.994768962510898,0.9962287869264612,31,0,2,35,0.9393939393939394,1.0,0.9696969696969697,0.96875
